skewness factor,kurtosis factor,crest factor,shape factor,impulse factor,margin factor
-0.3012499898802954,2.48171026769798,2.775495288346172,1.194182263278183,3.314447245155165,3.826980394929844
-0.1922144451669839,2.531205916410838,2.426969356382186,1.206327777667852,2.9277205501525,3.361277523581519
-0.1752125747641317,2.559090027270162,2.492546325943024,1.215273457889762,3.0291253924792,3.503304175736545
-0.02923417981502488,2.31671844034422,2.469553727444509,1.209671694314778,2.987349241679176,3.467160998651903
0.0220777947768459,2.708725802696023,2.815035764255926,1.247237999243912,3.511019574410618,4.138478690745803
-0.2115584164724971,2.755038973312281,2.957466429794124,1.226729037825546,3.628009947822698,4.241123890220404
0.1408962545240406,2.794349709714071,2.661178388201385,1.267598376201017,3.373305403665315,4.018223788878014
-0.316860396337449,2.615248153921861,2.822366777539338,1.220261948953433,3.444026784621572,4.034512934526457
-0.04422368422178024,2.482810977246384,2.793799738481553,1.218165313730841,3.403309934928523,3.934936236019487
-0.242878244296562,2.682909803963757,2.700426136256874,1.217775398317053,3.288512513705995,3.8124018606336
0.01260488708302897,3.095787962074883,2.679695808934383,1.280636016551879,3.431714966324493,4.103264375452094
-0.05500245610247483,2.906302662188931,3.223777602033867,1.250749709473287,4.03213889915035,4.754241702183533
-0.2021010913665451,2.686733836341051,3.076929159208944,1.224420675928426,3.767455680902498,4.384155707058977
-0.1636890344148925,2.482645074111045,2.610348939152853,1.21304629409208,3.166474106926561,3.675998839524154
-0.03566296344902575,2.856881901307473,2.849015290172463,1.274662879180781,3.631534032601301,4.394272475734782
0.09385493038356729,2.551349720440397,2.83968888487256,1.225164657496893,3.479086460032624,4.02520835537811
-0.2140584994440759,2.763625130629131,2.549525600901426,1.261290242387328,3.215691763133659,3.835248367065373
-0.2673074698329305,2.666091760870312,2.719010172690881,1.227528313655467,3.337661972095297,3.914720359385027
0.03332928894346324,2.793236481066428,2.985192729076194,1.232129218592118,3.678143184623524,4.276560949554586
-0.30787601354085,3.057087341561634,3.120270054683278,1.223633722237256,3.818067661397545,4.427077548216098
-0.352269061135361,2.566417929547534,2.502015387016086,1.205372390862477,3.015860269022286,3.475002898230475
-0.419957910411316,2.942730098687848,2.601193850259526,1.241422930883432,3.229181693385139,3.838691935203925
-0.078727846876516,3.287011984551859,3.470135343202618,1.274655242417277,4.423226207110694,5.267153209856465
-0.2161940327303351,2.485974472342194,2.599199660414698,1.208250282948468,3.140483725135621,3.638131366758758
-0.2829844788630415,2.834952135892419,2.653832414103296,1.230381340750997,3.265225883792867,3.808684393357438
-0.1093187079149195,2.565833213786571,2.68354915049795,1.216422303838846,3.264329040113493,3.782177680448189
-0.401302417549263,2.597401344727659,2.719587607717408,1.189948499257862,3.236169192403607,3.684470540846348
-0.07653284583722127,2.961036124887809,2.723855469536933,1.269956834972943,3.459178871016862,4.131479518918734
-0.3297412258788735,3.194548074441682,3.442014106578237,1.252056060125773,4.309594621179681,5.116169918017366
-0.3237897189401394,2.644342366910373,2.502064431427786,1.21009149704868,3.027726893538704,3.50285185749156
-0.3316550765729308,2.642466812371007,2.670664318381288,1.212467893462651,3.238094740253627,3.761124702056095
0.01217221023240555,2.502466742090782,2.491427968012451,1.235416015837003,3.077950013986822,3.613368647657822
-0.2426690521935454,2.657143950769742,2.713206630608385,1.229552806956076,3.336030828516379,3.920611731594822
0.06901111260425247,2.724703549766266,2.917424011807354,1.240953187756718,3.620386627490331,4.259291022176302
-0.5564232803687916,3.192832095807938,3.021161084799398,1.233196684559047,3.725685833293432,4.340499891766245
-0.1043341065201018,2.820785771844696,2.839561179265439,1.234648838303217,3.505860911270986,4.0836013623238
0.09006254194900469,2.457966603369554,2.816995735122325,1.212806353111901,3.416470324245485,3.929455933740861
-0.3825820453895481,3.465261410530458,3.075452007216577,1.267001793885785,3.896603210153042,4.595729628178609
-0.1979427336726056,2.360709890079239,2.537860995744398,1.206860917014327,3.062845248578977,3.552159219138066
-0.2320667728220572,2.46934723840235,2.579150457958104,1.202849498835408,3.102329835776019,3.57840452892121
-0.1815787038443362,2.412846276537678,2.442374319742242,1.199979814592833,2.930799883370591,3.356329111414103
-0.2822682886374253,3.090982529970228,2.83145698089355,1.256096167905805,3.556582263290527,4.201421626673882
-0.1467800943711418,2.523380495578181,2.664724526302323,1.223124320338628,3.259289375123199,3.796152552145734
-0.3727345022929676,2.844781833242926,2.882794873550457,1.212978338427573,3.496767735746757,4.012953934072053
-0.06781816075407264,2.676276695695061,2.905738483466802,1.230261096864451,3.574817013871114,4.178011407101021
-0.3238316199179506,2.940387309831739,2.779382039687393,1.240461205341897,3.447715595056244,4.026372108053258
-0.134756839294258,2.824861893841792,2.858140703928256,1.231929983493448,3.521029230212287,4.094424231556596
-0.03702784760219997,2.557286973814448,2.598752738266741,1.226813824296185,3.188185785233203,3.734217642304472
-0.3564267975825867,3.431579917983876,3.211386563640411,1.261781586394877,4.052068432797392,4.7783405656507
0.1230440316986516,3.061324186640241,3.252477456653331,1.271961255836956,4.137025310346159,4.922172440777245
0.08427055011622291,2.614852870577585,3.051446260744868,1.226008035797095,3.741097636476205,4.376845854499559
0.09987910656238136,3.769202091110856,3.567462784165124,1.266199166773671,4.517118404805961,5.286614981192411
0.006846065572927723,2.768621076376253,3.000477008837479,1.26058154674351,3.78234594876869,4.526244175978662
-0.06439700337957081,3.040957703728582,2.747074788493696,1.272642566478833,3.496044309137916,4.167551088548404
0.01596983292065856,2.717926114998088,3.08799991758294,1.249182015247277,3.857473960129684,4.599808825673157
